EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
7220,Cacomantis merulinus,02/06/2008,,Cacomantis merulinus,4254
7230,Cuculus micropterus,02/06/2008,,Cuculus micropterus,4328
7240,Cuculus canorus,02/06/2008,,Cuculus canorus,4342
7250,Cuculus saturatus,02/06/2008,,Cuculus saturatus,4335
7260,Cuculus poliocephalus,02/06/2008,,Cuculus poliocephalus,4325
7270,Coccyzus erythropthalmus,02/06/2008,,Coccyzus erythrophthalmus,4134
7280,Coccyzus americanus,02/06/2008,,Coccyzus americanus,4114
7290,Coccyzus minor,02/06/2008,,Coccyzus minor,4118
7300,Coccyzus merlini,02/06/2008,,Saurothera merlini,4140
7310,Crotophaga ani,02/06/2008,,Crotophaga ani,3866
7320,Crotophaga sulcirostris,02/06/2008,,Crotophaga sulcirostris,3867
7330,Geococcyx californianus,02/06/2008,,Geococcyx californianus,3884
7340,Centropus senegalensis,02/06/2008,,Centropus senegalensis,3934
7350,Tyto alba,02/06/2008,,Tyto alba,8863
7351,Tyto alba alba,02/06/2008,,Tyto alba alba,8864
7352,Tyto alba guttata,02/06/2008,,Tyto alba guttata,8865
7360,Otus bakkamoena,02/06/2008,,Otus bakkamoena,9364
7370,Otus sunia,02/06/2008,,Otus sunia,9312
7380,Otus brucei,02/06/2008,,Otus brucei,9278
7390,Otus scops,02/06/2008,,Otus scops,9285
7400,Psiloscops flammeolus,02/06/2008,,Otus flammeolus,9545
7410,Megascops asio,02/06/2008,,Otus asio,9599
7420,Megascops trichopsis,02/06/2008,,Otus trichopsis,9551
7430,Bubo virginianus,02/06/2008,,Bubo virginianus,9444
7440,Bubo bubo,02/06/2008,,Bubo bubo,9466
7450,Bubo africanus,02/06/2008,,Bubo africanus,9503
7460,Bubo blakistoni,02/06/2008,,Ketupa blakistoni,NA
7470,Ketupa zeylonensis,02/06/2008,,Ketupa zeylonensis,9518
7480,Ketupa flavipes,02/06/2008,,Ketupa flavipes,9523
7490,Bubo scandiacus,02/06/2008,,Nyctea scandiaca,9443
7500,Surnia ulula,02/06/2008,,Surnia ulula,9135
7510,Glaucidium passerinum,02/06/2008,,Glaucidium passerinum,9139
7520,Glaucidium gnoma,02/06/2008,,Glaucidium gnoma,9186
7530,Glaucidium brasilianum,02/06/2008,,Glaucidium brasilianum,9212
7540,Taenioptynx brodiei,02/06/2008,,Glaucidium brodiei,9041
7550,Micrathene whitneyi,02/06/2008,,Micrathene whitneyi,9047
7560,Ninox scutulata,02/06/2008,,Ninox scutulata,8979
7570,Athene noctua,02/06/2008,,Athene noctua,9104
7580,Athene brama,02/06/2008,,Athene brama,9097
7590,Athene cunicularia,02/06/2008,,Athene cunicularia,9074
7600,Strix leptogrammica,02/06/2008,,Strix leptogrammica,9675
7610,Strix aluco,02/06/2008,,Strix aluco,9691
7620,Strix butleri,02/06/2008,,Strix butleri,9707
7630,Strix varia,02/06/2008,,Strix varia,9714
7640,Strix occidentalis,02/06/2008,,Strix occidentalis,9708
7650,Strix uralensis,02/06/2008,,Strix uralensis,9729
7660,Strix nebulosa,02/06/2008,,Strix nebulosa,9744
7669,Strigidae sp.,02/06/2008,,Strix sp.,NA
7670,Asio otus,02/06/2008,,Asio otus,9409
7680,Asio flammeus,02/06/2008,,Asio flammeus,9425
7690,Asio capensis,02/06/2008,,Asio capensis,9437
7700,Aegolius funereus,02/06/2008,,Aegolius funereus,9053
7710,Aegolius acadicus,02/06/2008,,Aegolius acadicus,9062
